TimeStamp, Cell, Direction, BSSID, SSID, Strength 
1520615800547,C14,D1,38:90:a5:8c:93:e3,TU Delft Open Dagen, -66
1520615800547,C14,D1,5c:96:9d:65:76:8e,SLDE-™-2 5GHz, -71
1520615800547,C14,D1,50:0f:80:fd:84:4c,TU Delft Open Dagen, -70
1520615800547,C14,D1,38:90:a5:8c:93:e2,tudelft-dastud, -66
1520615800547,C14,D1,50:0f:80:c0:ce:22,tudelft-dastud, -50
1520615800547,C14,D1,38:90:a5:74:ad:1d,tudelft-dastud, -87
1520615800547,C14,D1,38:90:a5:00:01:8e,TUvisitor, -86
1520615800547,C14,D1,38:90:a5:9d:1a:e2,tudelft-dastud, -67
1520615800547,C14,D1,50:0f:80:fd:84:43,TU Delft Open Dagen, -77
1520615800547,C14,D1,38:90:a5:9d:1a:e3,TU Delft Open Dagen, -67
1520615800547,C14,D1,38:90:a5:20:e9:01,TUvisitor, -70
1520615800547,C14,D1,50:0f:80:fe:49:0e,TUvisitor, -87
1520615800547,C14,D1,50:0f:80:d8:f4:2c,TU Delft Open Dagen, -80
1520615800547,C14,D1,38:90:a5:37:46:91,TUvisitor, -71
1520615800547,C14,D1,38:90:a5:37:42:d3,TU Delft Open Dagen, -76
1520615800547,C14,D1,38:90:a5:00:09:4d,tudelft-dastud, -88
1520615800547,C14,D1,38:90:a5:8f:e7:0d,tudelft-dastud, -91
1520615800547,C14,D1,50:0f:80:c4:60:0e,TUvisitor, -64
1520615800547,C14,D1,50:0f:80:c0:ce:2d,tudelft-dastud, -50
1520615815546,C14,D1,50:0f:80:c4:5f:93,TU Delft Open Dagen, -71
1520615815546,C14,D1,50:0f:80:c4:5f:6d,tudelft-dastud, -68
1520615815546,C14,D1,38:90:a5:8f:e7:0e,TUvisitor, -91
1520615815546,C14,D1,38:90:a5:20:f0:fe,TUvisitor, -85
1520615815546,C14,D1,50:0f:80:c0:ce:20,eduroam, -53
1520615815546,C14,D1,50:0f:80:fd:84:4d,tudelft-dastud, -69
1520615815546,C14,D1,50:0f:80:c4:60:0d,tudelft-dastud, -67
1520615815546,C14,D1,50:0f:80:fd:85:cf,eduroam, -81
1520615815546,C14,D1,50:0f:80:ee:64:fc,TU Delft Open Dagen, -91
1520615815546,C14,D1,50:0f:80:e3:79:63,TU Delft Open Dagen, -76
1520615815546,C14,D1,50:0f:80:c0:d6:83,TU Delft Open Dagen, -77
1520615815546,C14,D1,38:90:a5:20:f1:1e,TUvisitor, -83
1520615815546,C14,D1,e0:3f:49:09:d9:9c,TRIBLER, -89
1520615815546,C14,D1,50:0f:80:fd:7f:5f,eduroam, -89
1520615815546,C14,D1,50:0f:80:fd:7f:51,TUvisitor, -73
1520615815546,C14,D1,38:90:a5:8c:93:ec,TU Delft Open Dagen, -79
1520615815546,C14,D1,5c:96:9d:65:76:8d,SLDE-™-2, -71
1520615815546,C14,D1,50:0f:80:fd:85:cd,tudelft-dastud, -80
1520615815546,C14,D1,38:90:a5:9d:1a:e1,TUvisitor, -68
1520615815546,C14,D1,38:90:a5:37:46:9f,eduroam, -73
1520615815546,C14,D1,50:0f:80:fd:7f:bc,TU Delft Open Dagen, -69
1520615815546,C14,D1,50:0f:80:fe:3f:82,tudelft-dastud, -74
1520615815546,C14,D1,38:90:a5:37:42:dc,TU Delft Open Dagen, -85
1520615815546,C14,D1,50:0f:80:c0:ce:2e,TUvisitor, -54
1520615815546,C14,D1,50:0f:80:d8:ee:0d,tudelft-dastud, -68
1520615815546,C14,D1,50:0f:80:e3:7a:fc,TU Delft Open Dagen, -75
1520615815546,C14,D1,50:0f:80:ea:c8:ef,eduroam, -90
1520615815546,C14,D1,50:0f:80:e3:7a:fe,TUvisitor, -74
1520615815546,C14,D1,50:0f:80:e0:e6:de,TUvisitor, -86
1520615815546,C14,D1,38:90:a5:20:f1:1d,tudelft-dastud, -84
1520615815546,C14,D1,50:0f:80:d8:f4:2f,eduroam, -81
1520615815546,C14,D1,50:0f:80:d8:f1:8c,TU Delft Open Dagen, -86
1520615815546,C14,D1,38:90:a5:74:ad:1f,eduroam, -87
1520615815546,C14,D1,38:90:a5:00:01:8d,tudelft-dastud, -85
1520615815546,C14,D1,50:0f:80:c4:5f:9f,eduroam, -77
1520615815546,C14,D1,50:0f:80:c4:5f:6c,TU Delft Open Dagen, -69
1520615815546,C14,D1,50:0f:80:d8:f1:8e,TUvisitor, -86
1520615815546,C14,D1,50:0f:80:c0:ce:2c,TU Delft Open Dagen, -54
1520615815546,C14,D1,50:0f:80:c4:5f:63,TU Delft Open Dagen, -68
1520615815546,C14,D1,38:90:a5:37:46:93,TU Delft Open Dagen, -70
1520615815546,C14,D1,38:90:a5:20:f0:fc,TU Delft Open Dagen, -84
1520615815546,C14,D1,50:0f:80:c9:58:7c,TU Delft Open Dagen, -84
1520615815546,C14,D1,50:0f:80:c0:ce:21,TUvisitor, -54
1520615815546,C14,D1,38:90:a5:20:e9:03,TU Delft Open Dagen, -66
1520615815546,C14,D1,50:0f:80:d8:f3:70,eduroam, -70
1520615815546,C14,D1,50:0f:80:c4:60:01,TUvisitor, -62
1520615815546,C14,D1,50:0f:80:c4:60:03,TU Delft Open Dagen, -63
1520615815546,C14,D1,38:90:a5:37:46:9e,TUvisitor, -74
1520615815546,C14,D1,50:0f:80:fe:3f:81,TUvisitor, -71
1520615815546,C14,D1,50:0f:80:e0:e6:dc,TU Delft Open Dagen, -87
1520615815546,C14,D1,50:0f:80:fe:3f:8c,TU Delft Open Dagen, -79
1520615815546,C14,D1,38:90:a5:37:46:9d,tudelft-dastud, -74
1520615815546,C14,D1,50:0f:80:e3:7a:ff,eduroam, -74
1520615815546,C14,D1,38:90:a5:9d:1a:e0,eduroam, -67
1520615815546,C14,D1,50:0f:80:fd:7f:b0,eduroam, -68
1520615815546,C14,D1,50:0f:80:d8:ee:0e,TUvisitor, -70
1520615815546,C14,D1,38:90:a5:20:e9:0e,TUvisitor, -71
1520615815546,C14,D1,50:0f:80:fe:3f:83,TU Delft Open Dagen, -75
1520615815546,C14,D1,50:0f:80:e3:79:6e,TUvisitor, -77
1520615815546,C14,D1,38:90:a5:91:7f:8c,TU Delft Open Dagen, -85
1520615815546,C14,D1,50:0f:80:fd:84:4e,TUvisitor, -69
1520615815546,C14,D1,50:0f:80:c9:58:7e,TUvisitor, -84
1520615815546,C14,D1,e0:3f:49:09:d9:98,TRIBLER, -84
1520615815546,C14,D1,38:90:a5:37:42:d2,tudelft-dastud, -77
1520615815546,C14,D1,38:90:a5:91:7f:8e,TUvisitor, -84
1520615815546,C14,D1,50:0f:80:c4:60:0f,eduroam, -66
1520615815546,C14,D1,50:0f:80:d8:ee:0c,TU Delft Open Dagen, -69
1520615815546,C14,D1,50:0f:80:fd:84:3e,TUvisitor, -91
1520615815546,C14,D1,50:0f:80:e0:e6:d3,TU Delft Open Dagen, -80
1520615815546,C14,D1,50:0f:80:c0:d6:8f,eduroam, -84
1520615815546,C14,D1,38:90:a5:37:42:dd,tudelft-dastud, -85
1520615815546,C14,D1,38:90:a5:37:42:de,TUvisitor, -87
1520615815546,C14,D1,50:0f:80:c4:5f:6f,eduroam, -68
1520615815546,C14,D1,50:0f:80:c4:60:0c,TU Delft Open Dagen, -66
1520615815546,C14,D1,50:0f:80:c0:d6:8c,TU Delft Open Dagen, -85
1520615815546,C14,D1,38:90:a5:37:42:d0,eduroam, -76
1520615815546,C14,D1,50:0f:80:fd:85:0f,eduroam, -78
1520615815546,C14,D1,50:0f:80:c4:5f:9c,TU Delft Open Dagen, -78
1520615815546,C14,D1,50:0f:80:c4:5f:6e,TUvisitor, -68
1520615815546,C14,D1,50:0f:80:d8:f3:7d,tudelft-dastud, -73
1520615815546,C14,D1,38:90:a5:20:e9:0d,tudelft-dastud, -71
1520615815546,C14,D1,38:90:a5:37:42:d1,TUvisitor, -77
1520615815546,C14,D1,50:0f:80:c4:5f:9e,TUvisitor, -79
1520615815546,C14,D1,38:90:a5:8f:e7:0c,TU Delft Open Dagen, -90
1520615815546,C14,D1,50:0f:80:d8:f3:72,tudelft-dastud, -70
1520615815546,C14,D1,50:0f:80:d8:f3:7c,TU Delft Open Dagen, -74
1520615815546,C14,D1,38:90:a5:8c:93:ee,TUvisitor, -79
1520615815546,C14,D1,38:90:a5:00:09:4e,TUvisitor, -89
1520615815546,C14,D1,50:0f:80:d8:ee:0f,eduroam, -69
1520615815546,C14,D1,50:0f:80:fd:7f:bf,eduroam, -69
1520615815546,C14,D1,50:0f:80:c4:60:00,eduroam, -63
1520615815546,C14,D1,50:0f:80:e3:7a:f3,TU Delft Open Dagen, -79
1520615815546,C14,D1,38:90:a5:20:e9:02,tudelft-dastud, -65
1520615815546,C14,D1,38:90:a5:9d:1a:ef,eduroam, -84
1520615815546,C14,D1,50:0f:80:ea:c8:ec,TU Delft Open Dagen, -89
1520615815546,C14,D1,50:0f:80:e3:7a:fd,tudelft-dastud, -75
1520615815546,C14,D1,50:0f:80:fd:7f:b3,TU Delft Open Dagen, -68
1520615815546,C14,D1,1c:5f:2b:07:b2:26,Nao#4-5G, -86
1520615815546,C14,D1,38:90:a5:8c:5d:ce,TUvisitor, -91
1520615815546,C14,D1,50:0f:80:fd:84:3d,tudelft-dastud, -92
1520615815546,C14,D1,50:0f:80:e3:79:6c,TU Delft Open Dagen, -76
1520615815546,C14,D1,38:90:a5:20:e9:0c,TU Delft Open Dagen, -71
1520615815546,C14,D1,50:0f:80:fd:85:0c,TU Delft Open Dagen, -77
1520615815546,C14,D1,38:90:a5:8c:93:ef,eduroam, -78
1520615815546,C14,D1,50:0f:80:fd:85:0e,TUvisitor, -78
1520615815546,C14,D1,50:0f:80:fd:7f:5c,TU Delft Open Dagen, -87
1520615815546,C14,D1,38:90:a5:00:09:4c,TU Delft Open Dagen, -90
1520615815546,C14,D1,38:90:a5:00:01:8f,eduroam, -83
1520615815546,C14,D1,50:0f:80:fd:85:00,eduroam, -77
1520615815546,C14,D1,50:0f:80:d8:ee:02,tudelft-dastud, -71
1520615815546,C14,D1,50:0f:80:fd:85:0d,tudelft-dastud, -78
1520615815546,C14,D1,50:0f:80:c0:ce:23,TU Delft Open Dagen, -53
1520615815546,C14,D1,50:0f:80:d8:f3:71,TUvisitor, -70
1520615815546,C14,D1,50:0f:80:c0:ce:2f,eduroam, -53
1520615815546,C14,D1,50:0f:80:fd:7f:b2,tudelft-dastud, -68
1520615815546,C14,D1,38:90:a5:37:46:9c,TU Delft Open Dagen, -74
1520615815546,C14,D1,50:0f:80:fd:7f:b1,TUvisitor, -67
1520615815546,C14,D1,50:0f:80:c4:5f:91,TUvisitor, -72
1520615815546,C14,D1,50:0f:80:fd:84:4f,eduroam, -68
1520615815546,C14,D1,5c:96:9d:65:76:8e,SLDE-™-2 5GHz, -70
1520615815546,C14,D1,50:0f:80:fd:84:4c,TU Delft Open Dagen, -69
1520615815546,C14,D1,50:0f:80:c0:ce:22,tudelft-dastud, -54
1520615815546,C14,D1,38:90:a5:9d:1a:e2,tudelft-dastud, -79
1520615815546,C14,D1,38:90:a5:9d:1a:e3,TU Delft Open Dagen, -68
1520615815546,C14,D1,50:0f:80:d8:f4:2d,tudelft-dastud, -81
1520615815546,C14,D1,50:0f:80:fe:49:0e,TUvisitor, -84
1520615815546,C14,D1,50:0f:80:d8:f3:73,TU Delft Open Dagen, -70
1520615815546,C14,D1,50:0f:80:d8:f4:2c,TU Delft Open Dagen, -82
1520615815546,C14,D1,38:90:a5:37:42:d3,TU Delft Open Dagen, -76
1520615815546,C14,D1,38:90:a5:9d:1a:ed,tudelft-dastud, -85
1520615815546,C14,D1,50:0f:80:c4:60:0e,TUvisitor, -67
1520615815546,C14,D1,50:0f:80:fe:49:0d,tudelft-dastud, -85
1520615815546,C14,D1,50:0f:80:c0:ce:2d,tudelft-dastud, -55
1520615825545,C14,D1,50:0f:80:c4:5f:93,TU Delft Open Dagen, -72
1520615825545,C14,D1,50:0f:80:c4:5f:6d,tudelft-dastud, -69
1520615825545,C14,D1,38:90:a5:8f:e7:0e,TUvisitor, -90
1520615825545,C14,D1,38:90:a5:20:f0:fe,TUvisitor, -80
1520615825545,C14,D1,50:0f:80:c0:ce:20,eduroam, -50
1520615825545,C14,D1,38:90:a5:8f:e7:03,TU Delft Open Dagen, -78
1520615825545,C14,D1,50:0f:80:fd:84:4d,tudelft-dastud, -69
1520615825545,C14,D1,50:0f:80:c4:60:0d,tudelft-dastud, -66
1520615825545,C14,D1,50:0f:80:d8:f3:7e,TUvisitor, -74
1520615825545,C14,D1,38:90:a5:8c:8c:dd,tudelft-dastud, -89
1520615825545,C14,D1,e0:3f:49:09:d9:9c,TRIBLER, -89
1520615825545,C14,D1,50:0f:80:c4:60:02,tudelft-dastud, -63
1520615825545,C14,D1,38:90:a5:9d:1b:1c,TU Delft Open Dagen, -78
1520615825545,C14,D1,38:90:a5:8c:93:ec,TU Delft Open Dagen, -79
1520615825545,C14,D1,5c:96:9d:65:76:8d,SLDE-™-2, -70
1520615825545,C14,D1,38:90:a5:37:46:9f,eduroam, -74
1520615825545,C14,D1,50:0f:80:fd:7f:bc,TU Delft Open Dagen, -69
1520615825545,C14,D1,50:0f:80:fd:7f:be,TUvisitor, -69
1520615825545,C14,D1,38:90:a5:37:42:dc,TU Delft Open Dagen, -83
1520615825545,C14,D1,50:0f:80:c0:ce:2e,TUvisitor, -51
1520615825545,C14,D1,50:0f:80:d8:ee:0d,tudelft-dastud, -69
1520615825545,C14,D1,50:0f:80:e3:7a:fc,TU Delft Open Dagen, -77
1520615825545,C14,D1,50:0f:80:e3:7a:fe,TUvisitor, -77
1520615825545,C14,D1,50:0f:80:e0:e6:de,TUvisitor, -89
1520615825545,C14,D1,38:90:a5:20:f1:1d,tudelft-dastud, -82
1520615825545,C14,D1,50:0f:80:d8:f4:2f,eduroam, -80
1520615825545,C14,D1,50:0f:80:d8:ee:01,TUvisitor, -68
1520615825545,C14,D1,50:0f:80:c4:5f:9f,eduroam, -77
1520615825545,C14,D1,50:0f:80:c4:5f:6c,TU Delft Open Dagen, -70
1520615825545,C14,D1,50:0f:80:c0:ce:2c,TU Delft Open Dagen, -51
1520615825545,C14,D1,38:90:a5:37:46:93,TU Delft Open Dagen, -71
1520615825545,C14,D1,50:0f:80:c9:58:7c,TU Delft Open Dagen, -82
1520615825545,C14,D1,50:0f:80:c0:ce:21,TUvisitor, -50
1520615825545,C14,D1,50:0f:80:d8:ee:03,TU Delft Open Dagen, -69
1520615825545,C14,D1,50:0f:80:c4:5f:7e,TUvisitor, -86
1520615825545,C14,D1,38:90:a5:20:e9:03,TU Delft Open Dagen, -65
1520615825545,C14,D1,50:0f:80:c4:60:01,TUvisitor, -63
1520615825545,C14,D1,50:0f:80:c9:58:7d,tudelft-dastud, -83
1520615825545,C14,D1,50:0f:80:c4:60:03,TU Delft Open Dagen, -63
1520615825545,C14,D1,38:90:a5:37:46:9e,TUvisitor, -73
1520615825545,C14,D1,50:0f:80:d8:f4:20,eduroam, -80
1520615825545,C14,D1,50:0f:80:fe:3f:8c,TU Delft Open Dagen, -77
1520615825545,C14,D1,38:90:a5:37:46:9d,tudelft-dastud, -72
1520615825545,C14,D1,50:0f:80:e3:7a:ff,eduroam, -76
1520615825545,C14,D1,50:0f:80:fd:85:cc,TU Delft Open Dagen, -78
1520615825545,C14,D1,38:90:a5:8c:8c:df,eduroam, -90
1520615825545,C14,D1,50:0f:80:d8:ee:0e,TUvisitor, -68
1520615825545,C14,D1,50:0f:80:fd:7f:b0,eduroam, -68
1520615825545,C14,D1,50:0f:80:fe:3f:83,TU Delft Open Dagen, -72
1520615825545,C14,D1,50:0f:80:e3:79:6e,TUvisitor, -76
1520615825545,C14,D1,38:90:a5:9d:1b:1e,TUvisitor, -78
1520615825545,C14,D1,38:90:a5:9d:1b:13,TU Delft Open Dagen, -81
1520615825545,C14,D1,50:0f:80:fd:84:4e,TUvisitor, -68
1520615825545,C14,D1,e0:3f:49:09:d9:98,TRIBLER, -81
1520615825545,C14,D1,50:0f:80:c9:58:7e,TUvisitor, -83
1520615825545,C14,D1,38:90:a5:91:7f:8e,TUvisitor, -88
1520615825545,C14,D1,50:0f:80:e0:e6:dd,tudelft-dastud, -87
1520615825545,C14,D1,50:0f:80:c4:60:0f,eduroam, -68
1520615825545,C14,D1,50:0f:80:d8:ee:0c,TU Delft Open Dagen, -69
1520615825545,C14,D1,50:0f:80:c4:5f:62,tudelft-dastud, -70
1520615825545,C14,D1,38:90:a5:37:42:dd,tudelft-dastud, -84
1520615825545,C14,D1,50:0f:80:c4:5f:6f,eduroam, -70
1520615825545,C14,D1,50:0f:80:c4:5f:9d,tudelft-dastud, -79
1520615825545,C14,D1,50:0f:80:c4:60:0c,TU Delft Open Dagen, -68
1520615825545,C14,D1,50:0f:80:e0:e6:d0,eduroam, -79
1520615825545,C14,D1,50:0f:80:fd:85:0f,eduroam, -79
1520615825545,C14,D1,38:90:a5:74:ad:1e,TUvisitor, -88
1520615825545,C14,D1,50:0f:80:c4:5f:9c,TU Delft Open Dagen, -78
1520615825545,C14,D1,50:0f:80:ee:6d:3d,tudelft-dastud, -95
1520615825545,C14,D1,50:0f:80:c4:5f:6e,TUvisitor, -69
1520615825545,C14,D1,50:0f:80:d8:f3:7d,tudelft-dastud, -73
1520615825545,C14,D1,50:0f:80:e0:e6:d1,TUvisitor, -80
1520615825545,C14,D1,38:90:a5:20:e9:0d,tudelft-dastud, -73
1520615825545,C14,D1,50:0f:80:c4:5f:9e,TUvisitor, -78
1520615825545,C14,D1,50:0f:80:d8:f3:72,tudelft-dastud, -69
1520615825545,C14,D1,38:90:a5:8c:93:ee,TUvisitor, -78
1520615825545,C14,D1,38:90:a5:00:09:4e,TUvisitor, -90
1520615825545,C14,D1,f8:e9:03:ca:c0:38,NAO#1, -84
1520615825545,C14,D1,50:0f:80:d8:ee:0f,eduroam, -69
1520615825545,C14,D1,50:0f:80:fd:7f:bf,eduroam, -68
1520615825545,C14,D1,50:0f:80:e3:79:6d,tudelft-dastud, -76
1520615825545,C14,D1,50:0f:80:fd:7f:bd,tudelft-dastud, -68
1520615825545,C14,D1,50:0f:80:fd:7f:5e,TUvisitor, -88
1520615825545,C14,D1,38:90:a5:9d:1a:ef,eduroam, -82
1520615825545,C14,D1,38:90:a5:9d:1b:1d,tudelft-dastud, -77
1520615825545,C14,D1,50:0f:80:fe:3f:8e,TUvisitor, -78
1520615825545,C14,D1,50:0f:80:e3:7a:fd,tudelft-dastud, -75
1520615825545,C14,D1,50:0f:80:fd:7f:b3,TU Delft Open Dagen, -75
1520615825545,C14,D1,1c:5f:2b:07:b2:26,Nao#4-5G, -88
1520615825545,C14,D1,50:0f:80:fd:84:3f,eduroam, -90
1520615825545,C14,D1,38:90:a5:20:f1:1f,eduroam, -82
1520615825545,C14,D1,50:0f:80:d8:f1:8d,tudelft-dastud, -89
1520615825545,C14,D1,50:0f:80:c4:5f:7c,TU Delft Open Dagen, -86
1520615825545,C14,D1,50:0f:80:d8:f3:7f,eduroam, -74
1520615825545,C14,D1,50:0f:80:fd:84:3d,tudelft-dastud, -90
1520615825545,C14,D1,38:90:a5:20:e9:0c,TU Delft Open Dagen, -73
1520615825545,C14,D1,50:0f:80:d8:f4:2e,TUvisitor, -79
1520615825545,C14,D1,50:0f:80:fd:7f:5c,TU Delft Open Dagen, -88
1520615825545,C14,D1,38:90:a5:8c:93:e1,TUvisitor, -71
1520615825545,C14,D1,50:0f:80:ea:c8:ee,TUvisitor, -90
1520615825545,C14,D1,38:90:a5:91:7f:8d,tudelft-dastud, -87
1520615825545,C14,D1,38:90:a5:00:01:8f,eduroam, -83
1520615825545,C14,D1,50:0f:80:d8:ee:02,tudelft-dastud, -69
1520615825545,C14,D1,38:90:a5:8f:e7:00,eduroam, -77
1520615825545,C14,D1,50:0f:80:fd:85:0d,tudelft-dastud, -80
1520615825545,C14,D1,50:0f:80:c0:ce:23,TU Delft Open Dagen, -50
1520615825545,C14,D1,50:0f:80:d8:f3:71,TUvisitor, -68
1520615825545,C14,D1,50:0f:80:c0:ce:2f,eduroam, -55
1520615825545,C14,D1,50:0f:80:c4:5f:61,TUvisitor, -70
1520615825545,C14,D1,38:90:a5:20:e9:0f,eduroam, -73
1520615825545,C14,D1,38:90:a5:37:46:9c,TU Delft Open Dagen, -74
1520615825545,C14,D1,50:0f:80:fd:7f:b1,TUvisitor, -68
1520615825545,C14,D1,50:0f:80:fd:84:4f,eduroam, -69
1520615825545,C14,D1,38:90:a5:37:42:df,eduroam, -84
1520615825545,C14,D1,38:90:a5:8c:93:e3,TU Delft Open Dagen, -70
1520615825545,C14,D1,5c:96:9d:65:76:8e,SLDE-™-2 5GHz, -72
1520615825545,C14,D1,50:0f:80:fd:84:4c,TU Delft Open Dagen, -68
1520615825545,C14,D1,50:0f:80:c0:ce:22,tudelft-dastud, -50
1520615825545,C14,D1,38:90:a5:9d:1a:ec,TU Delft Open Dagen, -82
1520615825545,C14,D1,38:90:a5:9d:1a:e3,TU Delft Open Dagen, -68
1520615825545,C14,D1,50:0f:80:d8:f4:2d,tudelft-dastud, -80
1520615825545,C14,D1,50:0f:80:d8:f3:73,TU Delft Open Dagen, -74
1520615825545,C14,D1,50:0f:80:c4:5f:71,TUvisitor, -80
1520615825545,C14,D1,50:0f:80:d8:f4:2c,TU Delft Open Dagen, -79
1520615825545,C14,D1,38:90:a5:00:09:4d,tudelft-dastud, -88
1520615825545,C14,D1,50:0f:80:c4:60:0e,TUvisitor, -68
1520615825545,C14,D1,50:0f:80:c0:ce:2d,tudelft-dastud, -50
1520615805544,C14,D1,50:0f:80:c4:5f:93,TU Delft Open Dagen, -71
1520615805544,C14,D1,50:0f:80:c4:5f:6d,tudelft-dastud, -67
1520615805544,C14,D1,38:90:a5:20:f0:fe,TUvisitor, -81
1520615805544,C14,D1,50:0f:80:c0:ce:20,eduroam, -49
1520615805544,C14,D1,38:90:a5:8f:e7:03,TU Delft Open Dagen, -79
1520615805544,C14,D1,50:0f:80:fd:84:4d,tudelft-dastud, -70
1520615805544,C14,D1,50:0f:80:c4:60:0d,tudelft-dastud, -69
1520615805544,C14,D1,50:0f:80:fd:85:cf,eduroam, -80
1520615805544,C14,D1,50:0f:80:d8:f3:7e,TUvisitor, -75
1520615805544,C14,D1,e0:3f:49:09:d9:9c,TRIBLER, -88
1520615805544,C14,D1,38:90:a5:9d:1b:1c,TU Delft Open Dagen, -79
1520615805544,C14,D1,50:0f:80:fd:7f:5f,eduroam, -86
1520615805544,C14,D1,5c:96:9d:65:76:8d,SLDE-™-2, -68
1520615805544,C14,D1,50:0f:80:fd:85:cd,tudelft-dastud, -79
1520615805544,C14,D1,38:90:a5:37:46:9f,eduroam, -74
1520615805544,C14,D1,50:0f:80:fd:7f:bc,TU Delft Open Dagen, -71
1520615805544,C14,D1,50:0f:80:fd:7f:be,TUvisitor, -71
1520615805544,C14,D1,38:90:a5:37:42:dc,TU Delft Open Dagen, -87
1520615805544,C14,D1,50:0f:80:c0:ce:2e,TUvisitor, -80
1520615805544,C14,D1,50:0f:80:d8:ee:0d,tudelft-dastud, -72
1520615805544,C14,D1,50:0f:80:e3:7a:fc,TU Delft Open Dagen, -72
1520615805544,C14,D1,50:0f:80:e3:7a:fe,TUvisitor, -73
1520615805544,C14,D1,50:0f:80:e0:e6:de,TUvisitor, -87
1520615805544,C14,D1,50:0f:80:d8:f4:2f,eduroam, -77
1520615805544,C14,D1,50:0f:80:d8:ee:01,TUvisitor, -69
1520615805544,C14,D1,38:90:a5:74:ad:1f,eduroam, -88
1520615805544,C14,D1,38:90:a5:00:01:8d,tudelft-dastud, -86
1520615805544,C14,D1,50:0f:80:c4:5f:9f,eduroam, -81
1520615805544,C14,D1,50:0f:80:fe:47:0c,TU Delft Open Dagen, -92
1520615805544,C14,D1,50:0f:80:c4:5f:6c,TU Delft Open Dagen, -68
1520615805544,C14,D1,50:0f:80:c9:58:72,tudelft-dastud, -78
1520615805544,C14,D1,50:0f:80:c0:ce:2c,TU Delft Open Dagen, -53
1520615805544,C14,D1,38:90:a5:20:f0:fc,TU Delft Open Dagen, -82
1520615805544,C14,D1,50:0f:80:c9:58:7c,TU Delft Open Dagen, -87
1520615805544,C14,D1,50:0f:80:c0:ce:21,TUvisitor, -49
1520615805544,C14,D1,38:90:a5:20:e9:03,TU Delft Open Dagen, -65
1520615805544,C14,D1,38:90:a5:20:f1:1c,TU Delft Open Dagen, -83
1520615805544,C14,D1,50:0f:80:d8:f3:70,eduroam, -72
1520615805544,C14,D1,50:0f:80:c4:60:01,TUvisitor, -66
1520615805544,C14,D1,50:0f:80:c4:60:03,TU Delft Open Dagen, -66
1520615805544,C14,D1,38:90:a5:37:46:9e,TUvisitor, -75
1520615805544,C14,D1,38:90:a5:06:ab:6c,TU Delft Open Dagen, -88
1520615805544,C14,D1,50:0f:80:e0:e6:dc,TU Delft Open Dagen, -86
1520615805544,C14,D1,50:0f:80:ee:6d:3e,TUvisitor, -92
1520615805544,C14,D1,50:0f:80:fe:3f:8c,TU Delft Open Dagen, -74
1520615805544,C14,D1,50:0f:80:fd:7f:b0,eduroam, -69
1520615805544,C14,D1,38:90:a5:20:e9:0e,TUvisitor, -70
1520615805544,C14,D1,50:0f:80:fe:3f:83,TU Delft Open Dagen, -72
1520615805544,C14,D1,50:0f:80:d8:ee:0e,TUvisitor, -73
1520615805544,C14,D1,38:90:a5:9d:1a:e0,eduroam, -73
1520615805544,C14,D1,38:90:a5:9d:1b:1e,TUvisitor, -79
1520615805544,C14,D1,38:90:a5:91:7f:8c,TU Delft Open Dagen, -86
1520615805544,C14,D1,50:0f:80:fd:84:4e,TUvisitor, -70
1520615805544,C14,D1,50:0f:80:c9:58:7e,TUvisitor, -87
1520615805544,C14,D1,38:90:a5:74:ad:1c,TU Delft Open Dagen, -89
1520615805544,C14,D1,38:90:a5:91:7f:8e,TUvisitor, -86
1520615805544,C14,D1,50:0f:80:c4:60:0f,eduroam, -66
1520615805544,C14,D1,50:0f:80:d8:ee:0c,TU Delft Open Dagen, -73
1520615805544,C14,D1,50:0f:80:fd:84:3e,TUvisitor, -92
1520615805544,C14,D1,50:0f:80:ee:64:fe,TUvisitor, -92
1520615805544,C14,D1,50:0f:80:c0:d6:8f,eduroam, -83
1520615805544,C14,D1,50:0f:80:c4:5f:6f,eduroam, -69
1520615805544,C14,D1,50:0f:80:c4:5f:9d,tudelft-dastud, -81
1520615805544,C14,D1,50:0f:80:c4:60:0c,TU Delft Open Dagen, -68
1520615805544,C14,D1,38:90:a5:37:42:d0,eduroam, -77
1520615805544,C14,D1,50:0f:80:c4:5f:9c,TU Delft Open Dagen, -81
1520615805544,C14,D1,50:0f:80:c4:5f:6e,TUvisitor, -69
1520615805544,C14,D1,38:90:a5:20:e9:0d,tudelft-dastud, -70
1520615805544,C14,D1,38:90:a5:37:42:d1,TUvisitor, -76
1520615805544,C14,D1,50:0f:80:fe:47:cd,tudelft-dastud, -91
1520615805544,C14,D1,50:0f:80:d8:f3:72,tudelft-dastud, -71
1520615805544,C14,D1,50:0f:80:d8:f3:7c,TU Delft Open Dagen, -75
1520615805544,C14,D1,38:90:a5:8c:93:ee,TUvisitor, -78
1520615805544,C14,D1,38:90:a5:00:09:4e,TUvisitor, -88
1520615805544,C14,D1,50:0f:80:d8:ee:0f,eduroam, -72
1520615805544,C14,D1,50:0f:80:fd:7f:bf,eduroam, -71
1520615805544,C14,D1,50:0f:80:c4:60:00,eduroam, -65
1520615805544,C14,D1,50:0f:80:fd:7f:bd,tudelft-dastud, -71
1520615805544,C14,D1,50:0f:80:e3:7a:f3,TU Delft Open Dagen, -80
1520615805544,C14,D1,38:90:a5:9d:1a:ef,eduroam, -86
